No.,State,District,Market,Commodity,Variety,Grade,Arrival Date,Min Price,Max Price,Modal Price
49,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Lemon,Lemon,Local,01/03/2025,7000,7800,7800
50,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Lime,Lime,Local,01/03/2025,11000,12000,12000
51,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,3500,4000,4000
52,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Water Melon,Water Melon,Local,01/03/2025,1600,2000,2000
53,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,01/03/2025,3000,3600,3600
54,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Beans,Beans (Whole),Local,01/03/2025,5000,6000,6000
55,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Beetroot,Beetroot,Local,01/03/2025,1500,6000,6000
56,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,2000,4000,4000
57,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Cabbage,Cabbage,Local,01/03/2025,2000,2500,2500
58,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,01/03/2025,1500,2000,2000
59,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,01/03/2025,3000,4000,4000
60,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Elephant Yam (Suran),Elephant Yam (Suran),Local,01/03/2025,5000,5500,5500
61,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Garlic,Average,Local,01/03/2025,12000,14000,14000
62,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,01/03/2025,3400,3800,3800
63,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,1500,2000,2000
64,Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1000,1400,1400
65,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Apple,American,Local,01/03/2025,14000,22000,22000
66,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Beans,Beans (Whole),Local,01/03/2025,5000,5400,5400
67,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Bitter gourd,Bitter Gourd,Local,01/03/2025,2800,3200,3200
68,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,2000,3000,3000
69,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,01/03/2025,2500,3000,3000
70,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Cowpea(Veg),Cowpea (Veg),Local,01/03/2025,2000,2500,2500
71,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Garlic,Average,Local,01/03/2025,7000,9800,9800
72,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,01/03/2025,4000,5000,5000
73,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,01/03/2025,2000,2600,2600
74,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2025,6000,7000,7000
75,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,01/03/2025,3500,3800,3800
76,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Pineapple,Pine Apple,Local,01/03/2025,5000,5500,5500
77,Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2025,2500,3000,3000
78,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Beetroot,Beetroot,Local,01/03/2025,2500,5200,5200
79,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Chikoos(Sapota),Sapota,Local,01/03/2025,4500,5000,5000
80,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,01/03/2025,1500,2000,2000
81,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,01/03/2025,4500,5000,5000
82,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2025,6500,7000,7000
83,Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Tapioca,Tapioca,Local,01/03/2025,3000,3500,3500
84,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,2400,3000,3000
85,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Capsicum,Capsicum,Local,01/03/2025,4600,5000,5000
86,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,01/03/2025,1600,2000,2000
87,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Drumstick,Drumstick,Local,01/03/2025,7600,8000,8000
88,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Elephant Yam (Suran),Elephant Yam (Suran),Local,01/03/2025,4800,5200,5200
89,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Garlic,Average,Local,01/03/2025,10000,11000,11000
90,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Green Avare (W),Avare (W),Local,01/03/2025,3000,3600,3600
91,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Lemon,Lemon,Local,01/03/2025,6600,7000,7000
92,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,3600,4000,4000
93,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,01/03/2025,4000,4500,4500
94,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,1600,1800,1800
95,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,2000,2400,2400
96,Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,01/03/2025,2400,2800,2800
97,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Banana,Besrai,Local,01/03/2025,4400,6500,6500
98,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,01/03/2025,3200,3600,3600
99,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,01/03/2025,2800,3200,3200
100,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Drumstick,Drumstick,Local,01/03/2025,7000,7400,7400
101,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,2500,3000,3000
102,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,1400,1600,1600
103,Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1000,1400,1400
104,Tamil Nadu,Coimbatore,Udumalpet,Ashgourd,Gouard,Local,01/03/2025,1000,1400,1400
105,Tamil Nadu,Coimbatore,Udumalpet,Banana,Besrai,Local,01/03/2025,4000,8000,8000
106,Tamil Nadu,Coimbatore,Udumalpet,Banana - Green,Banana - Green,Local,01/03/2025,3000,4000,4000
107,Tamil Nadu,Coimbatore,Udumalpet,Bottle gourd,Bottle Gourd,Local,01/03/2025,1500,1800,1800
108,Tamil Nadu,Coimbatore,Udumalpet,Cabbage,Cabbage,Local,01/03/2025,2500,3000,3000
109,Tamil Nadu,Coimbatore,Udumalpet,Chikoos(Sapota),Sapota,Local,01/03/2025,4000,4500,4500
110,Tamil Nadu,Coimbatore,Udumalpet,Chow Chow,Chow Chow,Local,01/03/2025,2500,2800,2800
111,Tamil Nadu,Coimbatore,Udumalpet,Indian Beans (Seam),Indian Beans (Seam),Local,01/03/2025,3500,4200,4200
112,Tamil Nadu,Coimbatore,Udumalpet,Lemon,Lemon,Local,01/03/2025,7500,8500,8500
113,Tamil Nadu,Coimbatore,Udumalpet,Raddish,Raddish,Local,01/03/2025,1000,1400,1400
114,Tamil Nadu,Coimbatore,Udumalpet,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2025,4500,5000,5000
115,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Apple,American,Local,01/03/2025,18000,22000,22000
116,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,2000,3000,3000
117,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,01/03/2025,1600,2000,2000
118,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,01/03/2025,2800,3200,3200
119,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,01/03/2025,3000,3400,3400
120,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Elephant Yam (Suran),Elephant Yam (Suran),Local,01/03/2025,4800,6200,6200
121,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Green Peas,Green Peas,Local,01/03/2025,6500,7000,7000
122,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Pineapple,Pine Apple,Local,01/03/2025,5000,5500,5500
123,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,1400,1600,1600
124,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,2200,2600,2600
125,Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Sweet Potato,Hosur Red,Local,01/03/2025,3800,4200,4200
126,Tamil Nadu,Cuddalore,Chidambaram(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,01/03/2025,4000,4000,4000
127,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Banana,Besrai,Local,01/03/2025,3000,6000,6000
128,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,01/03/2025,4000,4000,4000
129,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Guava,Guava Alahabad,Local,01/03/2025,4000,6000,6000
130,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Onion,Bellary,Local,01/03/2025,3500,4500,4500
131,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Onion Green,Onion Green,Local,01/03/2025,5000,5000,5000
132,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Papaya,Papaya,Local,01/03/2025,3000,3000,3000
133,Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,01/03/2025,4000,4000,4000
134,Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,01/03/2025,2000,2500,2500
135,Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Guava,Guava Alahabad,Local,01/03/2025,4000,4000,4000
136,Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,01/03/2025,4000,5000,5000
137,Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,2500,2500,2500
138,Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,2500,2500,2500
139,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,01/03/2025,2000,2500,2500
140,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,01/03/2025,2000,2000,2000
141,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,01/03/2025,4000,4000,4000
142,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,01/03/2025,3000,3000,3000
143,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Carrot,Pusakesar,Local,01/03/2025,4000,4000,4000
144,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,01/03/2025,3000,3000,3000
145,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,01/03/2025,5000,5000,5000
146,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Drumstick,Drumstick,Local,01/03/2025,11000,11000,11000
147,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,5000,5000,5000
148,Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,2000,2000,2000
149,Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Carrot,Pusakesar,Local,01/03/2025,2600,2800,2800
150,Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,01/03/2025,2600,2800,2800
151,Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,01/03/2025,3200,3400,3400
152,Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,70000,80000,80000
153,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Ashgourd,Gouard,Local,01/03/2025,1400,1600,1600
154,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Banana,Besrai,Local,01/03/2025,4400,4600,4600
155,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Carrot,Pusakesar,Local,01/03/2025,2600,2800,2800
156,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,01/03/2025,1800,2000,2000
157,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Cucumbar(Kheera),Cucumbar,Local,01/03/2025,3700,4000,4000
158,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Guava,Guava Alahabad,Local,01/03/2025,5500,6000,6000
159,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Mashrooms,Mashrooms,Local,01/03/2025,2200,2400,2400
160,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,4500,5000,5000
161,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Onion,Bellary,Local,01/03/2025,3600,4000,4000
162,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Thondekai,Thondekai,Local,01/03/2025,3700,4000,4000
163,Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,90000,1000,1000
164,Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Beetroot,Beetroot,Local,01/03/2025,3200,3600,3600
165,Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Carrot,Pusakesar,Local,01/03/2025,3200,3600,3600
166,Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,01/03/2025,3200,3600,3600
167,Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Papaya,Papaya,Local,01/03/2025,2200,2600,2600
168,Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Snakeguard,Snakeguard,Local,01/03/2025,3200,3600,3600
169,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Beetroot,Beetroot,Local,01/03/2025,1800,2000,2000
170,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Bitter gourd,Bitter Gourd,Local,01/03/2025,1800,2000,2000
171,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Cabbage,Cabbage,Local,01/03/2025,1800,2000,2000
172,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Capsicum,Capsicum,Local,01/03/2025,4500,5000,5000
173,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Coconut,Coconut,Local,01/03/2025,6500,7000,7000
174,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,01/03/2025,3600,4000,4000
175,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Maize,Deshi Red,Local,01/03/2025,1800,2000,2000
176,Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,4500,5000,5000
177,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Beans,Beans (Whole),Local,01/03/2025,4000,4800,4800
178,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Carrot,Pusakesar,Local,01/03/2025,3500,3700,3700
179,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,01/03/2025,4000,4000,4000
180,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Mint(Pudina),Mint(Pudina),Local,01/03/2025,3000,3000,3000
181,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,2500,3000,3000
182,Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2025,2500,2800,2800
183,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Banana,Besrai,Local,01/03/2025,3000,5000,5000
184,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,01/03/2025,1200,1500,1500
185,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Cabbage,Cabbage,Local,01/03/2025,3000,4000,4000
186,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Coconut,Coconut,Local,01/03/2025,5000,6000,6000
187,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Coriander(Leaves),I Sort,Local,01/03/2025,1700,2000,2000
188,Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2025,2000,2500,2500
189,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Amla(Nelli Kai),Amla,Local,01/03/2025,2000,3000,3000
190,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Cabbage,Cabbage,Local,01/03/2025,3000,4000,4000
191,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Capsicum,Capsicum,Local,01/03/2025,6000,6000,6000
192,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Chikoos(Sapota),Sapota,Local,01/03/2025,4000,4000,4000
193,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Green Peas,Green Peas,Local,01/03/2025,5000,6000,6000
194,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Lemon,Lemon,Local,01/03/2025,5000,6000,6000
195,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,1000,1500,1500
196,Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Yam (Ratalu),Yam (Ratalu),Local,01/03/2025,6000,7000,7000
197,Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Ashgourd,Gouard,Local,01/03/2025,1000,1200,1200
198,Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,01/03/2025,2500,2800,2800
